IMU_ATTI(0):alti:D,IMU_ATTI(0):relativeHeight:C,IMU_ATTI(0):roll:C,IMU_ATTI(0):pitch:C,IMU_ATTI(0):yaw:C,AirSpeed:windSpeed,AirSpeed:windDirection
217.56538,0.919250801757812,0.6083303157775861,2.4133535717051724,101.45565754256648,0.23524718,-75.60754729366003
217.56654,1.251922920898437,0.5986509659088131,2.4560290137647893,101.45662839145164,0.25143018,-76.40914888311589
217.56735,1.169769600585937,0.5909975393749676,2.4753716245307915,101.46178429650335,0.25143018,-76.40914888311589
217.5677,0.823913887695312,0.5844727146927692,2.460516274592038,101.45341927364082,0.25143018,-76.40914888311589
217.56747,1.146454170898437,0.5773372002857661,2.428647057051134,101.4371209911235,0.25143018,-76.40914888311589
217.56657,0.9770663535156244,0.5290083740762186,2.388241998073307,101.42435210621292,0.25143018,-76.40914888311589
217.56642,1.311767891601562,0.4874815471457838,2.3388644289497846,101.4086273391698,0.25143018,-76.40914888311589
217.56625,0.5256808554687495,0.4992156467789512,2.2722697470798425,101.3898506261948,0.26782593,-77.16665823247742
217.56577,0.491211250976562,0.5521219274672478,2.2093480873822275,101.37412566151968,0.26782593,-77.16665823247742
217.56548,1.1119540488281243,0.5793323371826655,2.149668123852525,101.35348698559298,0.26782593,-77.16665823247742
217.565,1.0419772421874995,0.6053533409142885,2.086535418658695,101.32447787509156,0.26782593,-77.16665823247742
217.56436,1.0987704550781243,0.6302315674018666,2.0736953184491136,101.30249360004396,0.26782593,-77.16665823247742
217.56464,1.090668038085937,0.6419387711075153,2.124328540514965,101.31739120010818,0.26782593,-77.16665823247742
217.56467,0.2325289999999995,0.6199270275147641,2.2055584370837136,101.32114482048154,0.28423125,-77.87135692024638
217.56506,1.1078952109374995,0.5957201379945909,2.325315085727438,101.31645659510656,0.28423125,-77.87135692024638
217.56477,0.6098788535156245,0.6027387969270941,2.436798697660182,101.31365167951924,0.28423125,-77.87135692024638
217.56458,1.072418526367187,0.6320243761996833,2.5003533714153057,101.31864944470934,0.28423125,-77.87135692024638
217.56392,1.075439766601562,0.6654321746593546,2.516580779996913,101.33074311660742,0.28423125,-77.87135692024638
217.56361,1.068359688476562,0.7070416403173824,2.4629712492899163,101.3381528578476,0.28423125,-77.87135692024638
217.56332,1.4131930624999995,0.7150433400674439,2.3630520117293203,101.33518151936252,0.30091187,-78.52101906462578
217.56306,1.310760811523437,0.6663341633295269,2.256750199858361,101.33598506002882,0.30091187,-78.52101906462578
217.56306,1.5988009726562495,0.5772219705646942,2.1708997504259577,101.33823272874416,0.30091187,-78.52101906462578
217.56364,1.2823642050781243,0.4804845621578729,2.1396785725454794,101.34087327920432,0.30091187,-78.52101906462578
217.56403,1.0328524863281243,0.3804376658516231,2.131121618664958,101.34670123413385,0.30091187,-78.52101906462578
217.56483,1.471008614257812,0.2632031452823367,2.149523756120291,101.34986847721945,0.30091187,-78.52101906462578
217.56589,0.933441475585937,0.1812524556236195,2.199149308774289,101.3556575269269,0.31739205,-79.12838890525016
217.56673,1.5592501914062495,0.1622249433127374,2.2192364720294284,101.35880682788992,0.31739205,-79.12838890525016
217.56781,0.728546456054687,0.2024779485986432,2.1904526717149944,101.3595813702952,0.31739205,-79.12838890525016
217.56924,0.7812960898437495,0.318552047021523,2.1127230213761505,101.3535723963476,0.31739205,-79.12838890525016
217.57114,0.836059883789062,0.4828033585279599,1.982575361082032,101.36699105471604,0.31739205,-79.12838890525016
217.57191,1.082550362304687,0.5987199745774706,1.8688545062131905,101.3678918211194,0.31739205,-79.12838890525016
217.57254,0.753906563476562,0.636285690944192,1.7748746000475375,101.35424504455992,0.33316,-79.743716175854
217.57314,1.386841133789062,0.6097675369116201,1.747992393298255,101.3473582159902,0.33316,-79.743716175854
217.57396,1.0561679160156243,0.564967687846857,1.771454285001562,101.3440542590983,0.33316,-79.743716175854
217.57436,1.130218819335937,0.5492958999097163,1.7716386850304933,101.34559618481052,0.33316,-79.743716175854
217.57472,0.993286446289062,0.5577425215806688,1.7501294628806794,101.3464568334349,0.33316,-79.743716175854
217.57559,0.8614352499999995,0.553439704440361,1.7369828245405587,101.35890069541176,0.33316,-79.743716175854
217.57622,0.739715889648437,0.5456703210363962,1.745434188560771,101.37593824951442,0.3478998,-80.38017869822029
217.57733,1.176880196289062,0.5501971114753837,1.7695390704093883,101.38725709990445,0.3478998,-80.38017869822029
217.57724,0.650451973632812,0.5536244727274894,1.8225317403896977,101.40084867835046,0.3478998,-80.38017869822029
217.57663,1.1971591269531243,0.5302568612723422,1.8891192463807085,101.4241663854118,0.3478998,-80.38017869822029
217.57578,0.5307467734374995,0.4798797097848516,1.9326795538360235,101.44667629551842,0.3478998,-80.38017869822029
217.57619,1.1494906699218743,0.4401732005828024,1.97176131030937,101.47636416348416,0.3478998,-80.38017869822029
217.57672,1.186004952148437,0.4040274498109557,2.019616677761233,101.51119059754532,0.361977,-80.98387032971583
217.57733,1.1281894003906243,0.3909485179484316,2.0284175660520205,101.53053246288664,0.361977,-80.98387032971583
217.5771,0.9314120566406244,0.4151455081897431,1.9971655342182724,101.5429469461339,0.361977,-80.98387032971583
217.57637,0.7843478476562495,0.4731426823345472,1.9484338923041744,101.53548570592078,0.361977,-80.98387032971583
217.57568,1.067322090820312,0.5525981495394545,1.9045155066876116,101.5125011896778,0.361977,-80.98387032971583
217.57562,1.536926583007812,0.6774328836814199,1.861031161021404,101.49347284260652,0.361977,-80.98387032971583
217.57576,0.7772372519531245,0.7981654392015971,1.806590213835176,101.47085465901986,0.3757854,-81.5889150656223
217.57553,0.811737374023437,0.8566840851113179,1.7492836017580056,101.44062661809303,0.3757854,-81.5889150656223
217.57513,0.821869209960937,0.8458502076258309,1.7118390200346234,101.4187836507656,0.3757854,-81.5889150656223
217.5749,1.7306369101562495,0.8040529707971941,1.7261064409476394,101.40639534254086,0.3757854,-81.5889150656223
217.57498,0.997345284179687,0.784142101902949,1.823269402624556,101.38773388679962,0.3757854,-81.5889150656223
217.57553,1.7387545859374995,0.7982079894631218,1.921526928694244,101.37371274740627,0.3757854,-81.5889150656223
217.57715,1.562286690429687,0.8436111968427317,2.0384685091375983,101.3563865211184,0.3895342,-82.27363045286508
217.57808,0.6869662558593745,0.8878607420163429,2.148922222613931,101.33466902442464,0.3895342,-82.27363045286508
217.57954,1.249908760742187,0.9283080280643056,2.2199801713434,101.31245473595764,0.3895342,-82.27363045286508
217.58076,0.755951241210937,0.9496191382352512,2.229146015605944,101.30188599978165,0.3895342,-82.27363045286508
217.58238,1.168762520507812,0.9768296708649886,2.1926612038744806,101.29187382302908,0.3895342,-82.27363045286508
217.58316,0.6068270957031245,0.9886170762819882,2.139727986721848,101.29168643422852,0.3895342,-82.27363045286508
217.58357,1.407104805664062,1.0001977356195428,2.0854594699172004,101.29761617549649,0.40343866,-82.99968104047863
217.58427,1.1241305624999995,1.024005447105664,2.0581855480782747,101.30810637690496,0.40343866,-82.99968104047863
217.58437,1.319885567382812,1.0654504716580069,2.052637941988537,101.3186581140241,0.40343866,-82.99968104047863
217.58408,0.941559151367187,1.109886782131857,2.069834316912082,101.31137622903437,0.40343866,-82.99968104047863
217.58403,1.4304354941406243,1.1417982853074913,2.0820935761174897,101.29083503123856,0.40343866,-82.99968104047863
217.58388,0.490173653320312,1.1409393567487385,2.0582291695768298,101.2701338137048,0.40343866,-82.99968104047863
217.58377,1.151520088867187,1.0744044830984012,2.059255655720916,101.26548333612332,0.4173855,-83.75036959341693
217.58397,0.925323799804687,0.9965721815338237,2.055011838302024,101.27793719007944,0.4173855,-83.75036959341693
217.58446,1.3624728476562495,0.915027038229688,2.007550525549487,101.29204814931128,0.4173855,-83.75036959341693
217.585,0.904022530273437,0.8887454603433436,1.9463059245511931,101.28550573472012,0.4173855,-83.75036959341693
217.58556,1.3503268515624995,0.9188828986845022,1.8600644883606836,101.29020703938308,0.4173855,-83.75036959341693
217.58664,1.5714267050781243,0.963170358467994,1.77396786052767,101.28307826234578,0.4173855,-83.75036959341693
217.58813,1.1231234824218743,0.9913438193218712,1.7324611631076492,101.2660257838102,0.43131924,-84.48529113407241
217.58948,0.8796847617187495,0.9763984387974688,1.755504256110397,101.25941373899816,0.43131924,-84.48529113407241
217.59056,0.289337471679687,0.93152366053862,1.8212092717883612,101.26136158770474,0.43131924,-84.48529113407241
217.5918,0.8573764121093745,0.8377810205727365,1.907714085881961,101.2577744996984,0.43131924,-84.48529113407241
217.59288,0.7711642539062495,0.8399575385098791,2.018971796891345,101.2648145924823,0.43131924,-84.48529113407241
217.59436,1.074432686523437,0.934119568408197,2.158675100531874,101.282049372963,0.43131924,-84.48529113407241
217.59544,0.5145419394531245,1.02077047555525,2.2596845079658374,101.29903285942235,0.44519123,-85.17891568548968
217.59636,0.659576729492187,1.0817863449558196,2.324683785628562,101.29723163260785,0.44519123,-85.17891568548968
