IMU_ATTI(0):alti:D,IMU_ATTI(0):relativeHeight:C,IMU_ATTI(0):roll:C,IMU_ATTI(0):pitch:C,IMU_ATTI(0):yaw:C,AirSpeed:windSpeed,AirSpeed:windDirection,CompassFilter(1):X:D,CompassFilter(1):Y:D,CompassFilter(1):Z:D,IMU_ATTI(0):tiltInclination:C,IMU_ATTI(0):tiltDirectionEarthFrame:C
218.06096,2.301162514648439,0.7633587476106937,2.112158273025257,124.95277092542638,0.85148036,-60.39566528241592,31.0,-28.0,508.0,2.2456344488415847,-74.91046422748454
218.06158,2.537460122070314,0.5610437801786832,2.204988887203364,124.97895288402124,0.85148036,-60.39566528241592,29.0,-29.0,510.0,2.2751098886815195,-69.29030171691267
218.06189,2.835586342773439,0.4516562705534153,2.203159681929073,124.98122986562456,0.85148036,-60.39566528241592,32.0,-30.0,510.0,2.24888952768471,-66.59878650911354
218.06276,2.846740517578126,0.3888405846989553,2.1188150204234293,124.9809335543658,0.86255616,-60.83814901409715,28.0,-33.0,508.0,2.1541352298048384,-65.41367623457948
218.06328,2.597274575195314,0.4172363199429065,1.9615924073491835,124.97191108776948,0.86255616,-60.83814901409715,28.0,-32.0,509.0,2.005407443315363,-67.03175890125046
218.06343,2.514129433593752,0.5415060375925368,1.862067099487876,124.96699972777088,0.86255616,-60.83814901409715,32.0,-33.0,509.0,1.9391002956803416,-71.2429592328298
218.06447,2.6114805078125016,0.693105020921656,1.867586683345065,124.96641641444056,0.86255616,-60.83814901409715,32.0,-30.0,508.0,1.991882137114109,-75.38894100641546
218.06392,2.019256386718752,0.926551697450522,2.003266821700036,124.96297157134276,0.86255616,-60.83814901409715,33.0,-29.0,510.0,2.206847913088774,-79.85153661466843
218.06314,2.104446206054689,1.2565428092913755,2.228822963146109,124.92494663145646,0.86255616,-60.83814901409715,29.0,-27.0,509.0,2.5580009855645645,-84.4796017640958
218.06189,1.969558510742189,1.5500224115186112,2.466883824778916,124.88811258723652,0.8737924,-61.25376020578394,31.0,-24.0,511.0,2.912413832121574,-87.24469711749508
218.06154,2.5678708886718766,1.7583180051115717,2.630838732994157,124.85841467913458,0.8737924,-61.25376020578394,30.0,-22.0,511.0,3.1629600534780247,-88.8880269720773
218.06143,2.559753212890626,1.9522413235604197,2.78131899188103,124.82446767497358,0.8737924,-61.25376020578394,29.0,-20.0,509.0,3.3963255459618558,-90.23026730731831
218.06169,2.556716713867189,2.0649051180461617,2.87625505017219,124.81485416007072,0.8737924,-61.25376020578394,24.0,-20.0,509.0,3.538696918333684,-90.84920065379715
218.0618,2.556716713867189,2.135688613411039,2.8510717683123943,124.8347390896467,0.8737924,-61.25376020578394,26.0,-19.0,510.0,3.5601608849377078,-91.99154071889218
218.06174,1.572006020507814,2.1450253902381182,2.726634293228792,124.87566540538631,0.8737924,-61.25376020578394,24.0,-18.0,511.0,3.467246681960746,-93.3082160422754
218.0617,2.543533120117189,2.025675120701436,2.582716837071158,124.92123446967013,0.8858272,-61.67469207815444,30.0,-16.0,511.0,3.2806533777583997,-93.179288900769
218.06233,2.364028725585939,1.8057888747505664,2.455426344184189,124.9449158579974,0.8858272,-61.67469207815444,24.0,-20.0,512.0,3.0466404091176478,-91.37919108751797
218.06183,2.194686684570314,1.4550143954633146,2.318313073139147,124.9577485064824,0.8858272,-61.67469207815444,26.0,-21.0,510.0,2.7362430634787387,-87.1468252776882
218.06206,2.602340493164064,1.1378976044362212,2.2407087428853787,124.98510424004988,0.8858272,-61.67469207815444,29.0,-26.0,510.0,2.5125581935986383,-81.92893745985202
218.06151,2.805145058593752,0.8978504549142705,2.221535768719781,125.02852931632486,0.8858272,-61.67469207815444,33.0,-27.0,510.0,2.395775886820518,-76.96959119475633
218.06131,2.344772133789064,0.7558453174108316,2.2214484706273097,125.06767496930657,0.8858272,-61.67469207815444,29.0,-29.0,511.0,2.346271789429325,-73.7153955746942
218.06075,2.5780027246093766,0.7006431117377583,2.269392046396796,125.09936380627356,0.89835393,-61.97440873644992,28.0,-29.0,509.0,2.3748715827329465,-72.05033651000322
218.06027,2.6216123437500016,0.617216339399212,2.3641082272176077,125.11883495011304,0.89835393,-61.97440873644992,30.0,-30.0,507.0,2.4431741044324014,-69.50580586606675
218.05966,2.745330605468752,0.4044068802636528,2.494722993408567,125.14618605487422,0.89835393,-61.97440873644992,28.0,-30.0,508.0,2.527206901447732,-64.05607518906164
218.05803,2.028381142578126,0.1645523469397525,2.619283558289748,125.1664887145286,0.89835393,-61.97440873644992,26.0,-33.0,508.0,2.624432978530944,-58.42581553892509
